Nazwa Polska, Nazwa Grecka, Liczba Rozdziałów
I. Mojzeſzowe, Geneſis, 50
II. Mojzeſzowe, Exodus, 40
III. Mojzeſzowe, Leviticus, 27
IV. Mojzeſzowe, Numeri, 36
V. Mojzeſzowe, Deuteronomion, 34
Jozue, , 24
Sędziow, , 21
Rut, , 4
I. Samuelowe, I. Regum, 31
II. Samuelowe, II. Regum, 24
I. Krolewſkie, III. Regum, 22
II. Krolewſkie, IV. Regum, 25
I. Kroniki, , 29
II. Kroniki, , 36
Ezdraſzowe, I. Eſdrae, 10
Nehemiaſzowe, II. Eſdrae, 13
Eſtery, , 10
Jobowe, , 42
Pſalmow, , 150
Przypowieśći Sálomonowe, , 31
Káznodźiejá, Eccleſiaſtes, 12
Pieśń Salomonowa, , 8
Izájaſz, , 66
Jeremiaſz, , 52
Treny Jeremiaſzowe, , 5
Ezechiel, , 48
Dániel, , 12
Ozeaſz, , 14
Joel, , 3
Amos, , 9
Abdyaſz, , 1
Jonaſz, , 4
Micheaſz, , 7
Náhum, , 3
Abákuk, , 3
Sofoniaſz, , 3
Aggeuſz, , 2
Zácháryaſz, , 14
Máláchiaſz, , 4
Ewángelia S. Mátteuſzá, , 28
Ewángelia S. Márká, , 16
Ewángelia S. Lukaſzá, , 24
Ewángelia S. Janá, , 21
Dźieje Apoſtolſkie, , 28
Liſt S. Páwłá do Rzymiánow, , 16
Liſt I. S. Páwłá do Koryntow, , 16
Liſt II. S. Páwłá do Koryntow, , 13
Liſt S. Páwłá do Gálatow, , 6
Liſt S. Páwłá do Efezow, , 6
Liſt S. Páwłá do Filippenſow, , 4
Liſt S. Páwłá do Koloſſenſow, , 4
Liſt I. S. Páwłá do Teſsálonicenſow, , 5
Liſt II. S. Páwłá do Teſsálonicenſow, , 3
Liſt I. S. Páwłá do Tymoteuſzá, , 6
Liſt II. S. Páwłá do Tymoteuſzá, , 4
Liſt S. Páwłá do Tytuſſá, , 3
Liſt S. Páwłá do Filemoná, , 1
Liſt S. Páwłá do Zydow, , 13
Liſt S. Jákubá, , 5
Liſt I. S. Piotra, , 5
Liſt II. Piotra, , 3
Liſt I. S. Janá, , 5
Liſt II. S. Janá, , 1
Liſt III. S. Janá, , 1
Liſt S. Judy, , 1
Objáwienie S. Janá, , 22
